State Code,State,Climate Resilience Investment Priority Index (0–100),Investment Priority Rank,Investment Priority Category,Cluster,Hazard Dimension Index (0–100),Exposure Dimension Index (0–100),Sensitivity Dimension Index (0–100),Adaptive Capacity Dimension Index (0–100),Flood Hazard Index (1–5 scale),Cyclone Hazard Index (1–5 scale),Drought Hazard Index (1–5 scale),Population Density (inhabitants/km²),Agricultural Land Share (% of state area),Multidimensional Poverty (% of population),Marginalization Score,Employment in Primary Sector (% of employment),"Educational Attainment (average years of schooling, age 15+)",Access to Piped Water (% of households),Access to Drainage (% of households),Health Service Affiliation (% of population)
01,Aguascalientes,16.8,31,Low Priority,2,10.3,30.8,13.7,12.3,2.8,1.0,2.0,253.9,55.9,23.7,1.24,4.2,10.4,95.3,99.3,81.4
02,Baja California,23.6,27,Low Priority,2,50.1,10.7,10.5,23.1,3.34,1.49,4.24,52.8,33.2,13.4,2.06,5.0,10.2,92.9,96.3,77.1
03,Baja California Sur,20.3,29,Low Priority,2,50.3,0.0,11.7,19.2,2.32,4.98,2.98,10.8,20.5,13.3,1.97,6.4,10.3,82.3,96.9,83.2
04,Campeche,46.9,6,Very High Priority,4,65.7,28.7,51.6,41.4,4.79,3.12,3.0,16.1,55.8,45.1,5.64,16.1,9.6,64.7,94.4,77.5
05,Coahuila de Zaragoza,17.1,30,Low Priority,2,26.0,19.5,8.2,14.7,2.94,1.18,2.96,20.8,44.4,18.2,0.9,3.0,10.4,92.5,98.5,80.7
06,Colima,29.5,24,Moderate Priority,2,56.2,26.7,21.0,14.0,4.91,3.35,2.0,130.0,52.1,20.5,1.91,11.1,10.0,92.4,99.2,82.8
07,Chiapas,56.8,1,Very High Priority,1,17.8,36.1,97.3,75.9,2.95,1.4,2.18,75.6,64.2,67.4,11.45,31.4,7.8,52.4,91.0,66.7
08,Chihuahua,26.4,26,Moderate Priority,2,37.4,34.0,18.6,15.7,3.44,1.09,3.42,15.1,62.3,17.6,3.43,6.8,10.0,93.6,96.5,84.4
09,Ciudad de México,33.4,17,Moderate Priority,2,44.7,65.3,7.4,16.1,4.53,1.0,3.0,6163.3,39.3,24.0,0.3,0.4,11.5,90.5,99.7,72.6
10,Durango,32.8,19,Moderate Priority,3,30.1,24.8,39.5,36.8,2.73,2.07,2.91,14.9,51.0,34.3,4.97,12.8,9.8,79.9,94.7,74.6
11,Guanajuato,35.5,14,High Priority,4,43.3,34.5,30.8,33.3,4.24,1.06,3.13,201.5,61.0,33.0,4.02,7.7,9.0,81.5,96.6,79.0
12,Guerrero,53.2,3,Very High Priority,1,32.8,24.1,87.1,68.9,3.34,2.15,2.48,55.7,49.7,60.4,12.46,23.4,8.4,49.4,87.7,74.3
13,Hidalgo,34.7,15,High Priority,3,17.1,26.5,44.7,50.4,3.25,1.48,1.79,148.1,51.7,41.0,5.39,12.7,9.4,66.9,94.9,69.7
14,Jalisco,31.2,21,Moderate Priority,2,41.1,36.2,18.1,29.6,3.96,1.43,2.99,106.2,64.0,21.8,1.63,8.3,9.9,94.6,98.6,69.9
15,México,36.4,13,High Priority,4,37.0,35.7,30.3,42.6,4.01,1.0,2.9,760.2,56.8,42.9,2.64,5.1,10.1,75.1,97.3,66.3
16,Michoacán de Ocampo,44.0,7,High Priority,4,40.5,26.5,50.9,58.0,3.74,1.33,3.22,81.0,52.4,41.7,5.16,18.6,8.6,78.3,95.7,62.2
17,Morelos,33.9,16,Moderate Priority,3,21.3,36.1,37.1,40.9,3.68,1.0,2.01,404.1,60.9,41.1,3.63,10.0,9.8,66.1,98.1,71.9
18,Nayarit,39.9,8,High Priority,4,50.3,31.9,44.2,33.4,3.94,2.03,3.33,44.4,59.4,29.3,5.93,17.5,9.7,75.6,96.1,77.8
19,Nuevo León,16.1,32,Low Priority,2,24.9,26.7,2.6,10.1,3.27,1.05,2.65,90.2,52.5,16.0,0.0,1.4,10.7,97.1,98.7,80.9
20,Oaxaca,51.0,4,Very High Priority,1,14.9,16.8,83.7,88.6,3.24,1.41,1.67,44.1,40.8,58.4,10.23,26.9,8.1,40.6,80.3,70.3
21,Puebla,38.1,9,High Priority,3,13.3,27.6,57.9,53.6,2.99,1.27,1.88,191.9,52.6,54.0,5.72,16.7,9.2,60.0,95.1,70.6
22,Querétaro,23.0,28,Low Priority,2,36.6,17.9,16.3,21.2,3.88,1.65,2.58,202.6,40.6,21.7,2.61,4.3,10.5,85.2,97.2,79.1
23,Quintana Roo,32.3,20,Moderate Priority,2,67.9,12.4,19.4,29.4,4.13,4.36,3.0,41.6,35.4,27.0,2.82,3.7,10.2,85.5,96.9,73.5
24,San Luis Potosí,30.8,22,Moderate Priority,3,27.3,16.4,41.0,38.5,4.06,1.07,2.06,46.2,40.3,35.5,4.76,14.0,9.6,69.6,90.8,82.5
25,Sinaloa,36.5,12,High Priority,2,73.8,26.3,25.2,20.6,4.23,3.83,3.7,52.8,52.4,21.6,2.93,11.8,10.2,86.8,96.9,80.9
26,Sonora,29.8,23,Moderate Priority,2,49.2,29.4,20.6,20.1,3.12,2.39,3.8,16.4,56.6,21.7,2.04,9.7,10.4,89.2,95.2,81.2
27,Tabasco,49.5,5,Very High Priority,4,54.0,48.5,49.1,46.2,5.0,1.5,2.94,97.1,79.2,46.5,5.11,14.4,9.7,66.9,97.5,68.5
28,Tamaulipas,36.6,11,High Priority,2,63.6,38.8,19.5,24.7,4.75,2.74,3.12,44.0,67.8,26.8,2.45,4.7,10.1,89.4,94.8,79.5
29,Tlaxcala,33.3,18,Moderate Priority,3,6.9,39.3,45.7,41.1,2.53,1.0,2.0,336.0,65.6,52.5,3.57,11.6,9.8,70.5,96.6,71.8
30,Veracruz de Ignacio de la Llave,55.3,2,Very High Priority,4,45.0,50.8,66.2,59.0,4.45,2.03,2.43,112.3,81.9,51.7,7.03,22.4,8.8,61.6,91.0,72.2
31,Yucatán,37.1,10,High Priority,4,50.0,20.3,40.0,38.0,3.28,3.48,3.0,58.7,45.0,38.8,5.93,8.3,9.6,78.1,92.2,78.0
32,Zacatecas,29.0,25,Moderate Priority,3,16.2,17.3,49.2,33.4,2.85,1.14,2.32,21.5,41.7,44.2,3.95,18.6,9.2,77.5,96.3,79.7
